Role,Action
Knowledge Manager,microsoft.directory/groups.security/members/update
Knowledge Manager,microsoft.directory/groups.security/owners/update
Knowledge Manager,microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read
Knowledge Manager,microsoft.office365.knowledge/knowledgeNetwork/topicVisibility/allProperties/allTasks
Knowledge Manager,microsoft.office365.sharePoint/allEntities/allTasks
Knowledge Manager,microsoft.office365.supportTickets/allEntities/allTasks
Knowledge Manager,microsoft.office365.webPortal/allEntities/standard/read
Domain Name Administrator,microsoft.directory/domains/allProperties/allTasks
Domain Name Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Domain Name Administrator,microsoft.office365.webPortal/allEntities/standard/read
Attribute Definition Administrator,microsoft.directory/attributeSets/allProperties/allTasks
Attribute Definition Administrator,microsoft.directory/customSecurityAttributeDefinitions/allProperties/allTasks
Attribute Assignment Administrator,microsoft.directory/attributeSets/allProperties/read
Attribute Assignment Administrator,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read
Attribute Assignment Administrator,microsoft.directory/devices/customSecurityAttributes/read
Attribute Assignment Administrator,microsoft.directory/devices/customSecurityAttributes/update
Attribute Assignment Administrator,microsoft.directory/servicePrincipals/customSecurityAttributes/read
Attribute Assignment Administrator,microsoft.directory/servicePrincipals/customSecurityAttributes/update
Attribute Assignment Administrator,microsoft.directory/users/customSecurityAttributes/read
Attribute Assignment Administrator,microsoft.directory/users/customSecurityAttributes/update
Attribute Definition Reader,microsoft.directory/attributeSets/allProperties/read
Attribute Definition Reader,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read
Attribute Assignment Reader,microsoft.directory/attributeSets/allProperties/read
Attribute Assignment Reader,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read
Attribute Assignment Reader,microsoft.directory/devices/customSecurityAttributes/read
Attribute Assignment Reader,microsoft.directory/servicePrincipals/customSecurityAttributes/read
Attribute Assignment Reader,microsoft.directory/users/customSecurityAttributes/read
Exchange Recipient Administrator,microsoft.office365.exchange/recipients/allProperties/allTasks
Exchange Recipient Administrator,microsoft.office365.exchange/migration/allProperties/allTasks
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.entitlementManagement/allProperties/allTasks
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/read
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/update
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/create
Identity Governance Administrator,microsoft.directory/accessReviews/definitions.groups/delete
Identity Governance Administrator,microsoft.directory/accessReviews/allProperties/allTasks
Identity Governance Administrator,microsoft.directory/entitlementManagement/allProperties/allTasks
Identity Governance Administrator,microsoft.directory/groups/members/update
Identity Governance Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update
Cloud App Security Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks
Cloud App Security Administrator,microsoft.office365.webPortal/allEntities/standard/read
Windows Update Deployment Administrator,microsoft.windows.updatesDeployments/allEntities/allProperties/allTasks
Windows 365 Administrator,microsoft.directory/deletedItems.devices/delete
Windows 365 Administrator,microsoft.directory/deletedItems.devices/restore
Windows 365 Administrator,microsoft.directory/devices/create
Windows 365 Administrator,microsoft.directory/devices/delete
Windows 365 Administrator,microsoft.directory/devices/disable
Windows 365 Administrator,microsoft.directory/devices/enable
Windows 365 Administrator,microsoft.directory/devices/basic/update
Windows 365 Administrator,microsoft.directory/devices/extensionAttributeSet1/update
Windows 365 Administrator,microsoft.directory/devices/extensionAttributeSet2/update
Windows 365 Administrator,microsoft.directory/devices/extensionAttributeSet3/update
Windows 365 Administrator,microsoft.directory/devices/registeredOwners/update
Windows 365 Administrator,microsoft.directory/devices/registeredUsers/update
Windows 365 Administrator,microsoft.directory/groups.security/create
Windows 365 Administrator,microsoft.directory/groups.security/delete
Windows 365 Administrator,microsoft.directory/groups.security/basic/update
Windows 365 Administrator,microsoft.directory/groups.security/classification/update
Windows 365 Administrator,microsoft.directory/groups.security/dynamicMembershipRule/update
Windows 365 Administrator,microsoft.directory/groups.security/members/update
Windows 365 Administrator,microsoft.directory/groups.security/owners/update
Windows 365 Administrator,microsoft.directory/groups.security/visibility/update
Windows 365 Administrator,microsoft.directory/deviceManagementPolicies/standard/read
Windows 365 Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read
Windows 365 Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Windows 365 Administrator,microsoft.cloudPC/allEntities/allProperties/allTasks
Windows 365 Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Windows 365 Administrator,microsoft.office365.usageReports/allEntities/allProperties/read
Windows 365 Administrator,microsoft.office365.webPortal/allEntities/standard/read
Edge Administrator,microsoft.edge/allEntities/allProperties/allTasks
Edge Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Edge Administrator,microsoft.office365.webPortal/allEntities/standard/read
Yammer Administrator,microsoft.directory/groups/hiddenMembers/read
Yammer Administrator,microsoft.directory/groups.unified/create
Yammer Administrator,microsoft.directory/groups.unified/delete
Yammer Administrator,microsoft.directory/groups.unified/restore
Yammer Administrator,microsoft.directory/groups.unified/basic/update
Yammer Administrator,microsoft.directory/groups.unified/members/update
Yammer Administrator,microsoft.directory/groups.unified/owners/update
Yammer Administrator,microsoft.office365.messageCenter/messages/read
Yammer Administrator,microsoft.office365.network/performance/allProperties/read
Yammer Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Yammer Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Yammer Administrator,microsoft.office365.usageReports/allEntities/allProperties/read
Yammer Administrator,microsoft.office365.webPortal/allEntities/standard/read
Yammer Administrator,microsoft.office365.yammer/allEntities/allProperties/allTasks
Authentication Extensibility Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks
Virtual Visits Administrator,microsoft.virtualVisits/allEntities/allProperties/allTasks
Virtual Visits Administrator,microsoft.office365.webPortal/allEntities/standard/read
Insights Analyst,microsoft.insights/queries/allProperties/allTasks
Insights Analyst,microsoft.office365.supportTickets/allEntities/allTasks
Insights Analyst,microsoft.office365.webPortal/allEntities/standard/read
Microsoft Hardware Warranty Administrator,microsoft.hardware.support/shippingAddress/allProperties/allTasks
Microsoft Hardware Warranty Administrator,microsoft.hardware.support/shippingStatus/allProperties/read
Microsoft Hardware Warranty Administrator,microsoft.hardware.support/warrantyClaims/allProperties/allTasks
Microsoft Hardware Warranty Administrator,microsoft.office365.messageCenter/messages/read
Microsoft Hardware Warranty Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Microsoft Hardware Warranty Administrator,microsoft.office365.webPortal/allEntities/standard/read
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/shippingAddress/allProperties/read
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/warrantyClaims/createAsOwner
Microsoft Hardware Warranty Specialist,microsoft.office365.supportTickets/allEntities/allTasks
Microsoft Hardware Warranty Specialist,microsoft.office365.webPortal/allEntities/standard/read
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/shippingStatus/allProperties/read
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/warrantyClaims/allProperties/read
Tenant Creator,microsoft.directory/tenantManagement/tenants/create
Lifecycle Workflows Administrator,microsoft.directory/lifecycleWorkflows/workflows/allProperties/allTasks
Viva Goals Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Viva Goals Administrator,microsoft.office365.webPortal/allEntities/standard/read
User Experience Success Manager,microsoft.commerce.billing/purchases/standard/read
User Experience Success Manager,microsoft.office365.organizationalMessages/allEntities/allProperties/read
User Experience Success Manager,microsoft.office365.webPortal/allEntities/standard/read
User Experience Success Manager,microsoft.office365.messageCenter/messages/read
User Experience Success Manager,microsoft.office365.usageReports/allEntities/standard/read
User Experience Success Manager,microsoft.office365.network/performance/allProperties/read
User Experience Success Manager,microsoft.office365.serviceHealth/allEntities/allTasks
Permissions Management Administrator,microsoft.permissionsManagement/allEntities/allProperties/allTasks
Organizational Messages Writer,microsoft.office365.organizationalMessages/allEntities/allProperties/allTasks
Organizational Messages Writer,microsoft.office365.usageReports/allEntities/standard/read
Organizational Messages Writer,microsoft.office365.webPortal/allEntities/standard/read
